tmp_lot_id,lot_turns,EUV_3300,EUV_3400,year,jpn_ytd,tmp_lot_id,,,,,,,
AX004115,7,0,0,2019-11-01,FY57,AX344634,,,,,,,
AX004116,27,0,0,2019-11-01,FY57,AX345415,,,,,,,
AX005288,6,0.94,1.19,2019-11-01,FY57,AX347504,,,,,,,
AX007962,2,0,0,2019-11-01,FY57,AX347503,,,,,,,
AX007810,6,0,1.4,2019-11-01,FY57,AX357820,,,,,,,
AX007809,7,0,0.54,2019-11-01,FY57,AX355452,,,,,,,
AX008921,7,0,0.54,2019-11-01,FY57,AX357821,,,,,,,
AX008922,12,3.99,0,2019-11-01,FY57,AX361759,,,,,,,
AX011668,2,0,0,2019-11-01,FY57,AX415829,,,,,,,
AX011669,5,0,0.74,2019-11-01,FY57,AX415830,,,,,,,
AX011294,6,0,0,2019-11-01,FY57,AX438610,,,,,,,
AX011203,6,1.07,1.95,2019-11-01,FY57,AX001637,,,,,,,
AX011204,2,0,0,2019-11-01,FY57,AX001636,,,,,,,
AX011205,8,0,0,2019-11-01,FY57,AX003133,,,,,,,
AX013824,6,0,0,2019-11-01,FY57,AX004115,,,,,,,
AX013823,2,0,0,2019-11-01,FY57,AX004116,,,,,,,
AX015071,3,0,0,2019-11-01,FY57,AX007962,,,,,,,
AX015030,1,0,0,2019-11-01,FY57,AX011203,,,,,,,
AX100616,4,0,0,2019-11-01,FY57,AX011204,,,,,,,
AX100244,5,0,0,2019-11-01,FY57,AX011205,,,,,,,
AX100243,7,0,0,2019-11-01,FY57,AX123273,,,,,,,
AX100617,2,0,0,2019-11-01,FY57,AX123035,,,,,,,
AX101249,5,0,0,2019-11-01,FY57,AX217222,,,,,,,
AX101248,2,0.96,0,2019-11-01,FY57,AX304383,,,,,,,
AX102178,2,0,0,2019-11-01,FY57,AX222837,,,,,,,
AX102179,5,0,0,2019-11-01,FY57,AX230824,,,,,,,
AX104237,12,3.86,0,2019-11-01,FY57,AX304384,,,,,,,
AX103277,10,0,0,2019-11-01,FY57,AX444654,,,,,,,
AX106311,7,0,0,2019-11-01,FY57,AX444655,,,,,,,
AX105995,5,0,0,2019-11-01,FY57,AX445711,,,,,,,
AX105994,12,3.81,0,2019-11-01,FY57,AX445710,,,,,,,
AX105861,2,0,0,2019-11-01,FY57,AX911981,,,,,,,
AX105862,15,2.43,0,2019-11-01,FY57,AX009983,,,,,,,
AX110714,4,0,0,2019-11-01,FY57,AX013845,,,,,,,
AX112775,1,2.6,0,2019-11-01,FY57,AX013844,,,,,,,
AX112776,0,0,0.75,2019-11-01,FY57,AX900919,,,,,,,
AX115755,0,0,0.54,2019-11-01,FY57,AX005883,,,,,,,
AX120122,3,0,0.63,2019-11-01,FY57,AX010478,,,,,,,
AX123273,2,0,0,2019-11-01,FY57,AX010857,,,,,,,
AX123035,3,0,0,2019-11-01,FY57,AX011339,,,,,,,
AX124919,7,0,0,2019-11-01,FY57,AX013312,,,,,,,
AX204452,0,0,3.48,2019-11-01,FY57,AX013032,,,,,,,
